user_input,retrieved_contexts,response,reference,context_precision,context_recall,faithfulness,answer_relevancy
"What categories of NPAs are listed in the prudential norms circular on income recognition, asset classification and provisioning?",['4 ASSET CLASSIFICATION 4.1 Categories of NPAs 4.1.1 Substandard Assets 4.1.2 Doubtful Assets 4.1.3 Loss Assets'],"The prudential norms circular lists the categories of NPAs as substandard assets, doubtful assets, and loss assets.","The NPA categories are substandard assets, doubtful assets, and loss assets.",1,0.5,1,0.898742019
What core topics are covered in the prudential norms master circular pertaining to advances?,"['Master Circular - Prudential norms on Income Recognition, Asset Classification and Provisioning pertaining to Advances']","The prudential norms master circular covers income recognition, asset classification, and provisioning pertaining to advances.","The circular covers income recognition, asset classification, and provisioning for advances.",1,1,1,0.834532609
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Rough quality bar (industry-typical thresholds),,,,,,,
Band,Score,,,,,,
Good,? 0.80,,,,,,
Acceptable,0.65 – 0.80,,,,,,
Investigate,< 0.65,,,,,,
,,,,,,,
,,,,,,,
context_precision    1.000,,,,,,,
context_recall       0.958,,,,,,,
faithfulness         0.817,,,,,,,
answer_relevancy     0.731,,,,,,,
dtype: float64,,,,,,,
,,,,,,,
Needs attention:,,,,,,,
                                          user_input  faithfulness,,,,,,,
2  Which major parts are listed under Chapter VI ...      0.166667,,,,,,,
8  Which sections and chapters are prominently li...      0.590909,,,,,,,
9  According to the NBFC liquidity risk managemen...      0.300000,,,,,,,
